old_variant_name,ablation_mode,seed,steps,psnr_db,ssim,mse,elapsed_seconds,error
baseline,baseline,0,240,33.38553547606749,0.9937967611733095,0.00045861309627071023,1428.6926894187927,
baseline,baseline,1,240,33.44950268182469,0.9938783213953319,0.0004519076901488006,493.99333000183105,
baseline,baseline,2,240,33.41149807724412,0.9938522056812298,0.00045587963541038334,577.8750312328339,
baseline,baseline,3,240,33.42112182570825,0.9938534552130004,0.00045487054740078747,653.0442092418671,
freeze-quantum,freeze-quantum,0,240,nan,nan,nan,4.4735267162323,RuntimeError: you can only change requires_grad flags of leaf variables. If you want to use a computed variable in a subgraph that doesn't require differentiation use var_no_grad = var.detach().
freeze-quantum,freeze-quantum,1,240,nan,nan,nan,3.8454182147979736,RuntimeError: you can only change requires_grad flags of leaf variables. If you want to use a computed variable in a subgraph that doesn't require differentiation use var_no_grad = var.detach().
freeze-quantum,freeze-quantum,2,240,nan,nan,nan,3.6515920162200928,RuntimeError: you can only change requires_grad flags of leaf variables. If you want to use a computed variable in a subgraph that doesn't require differentiation use var_no_grad = var.detach().
freeze-quantum,freeze-quantum,0,240,33.367691994512754,0.9937753362366673,0.0004605012363754213,497.4923572540283,
freeze-quantum,freeze-quantum,1,240,33.46846623105157,0.9938997985687846,0.0004499387287069112,621.4601745605469,
freeze-quantum,freeze-quantum,2,240,33.337133973239986,0.9937526682752319,0.00046375286183319986,583.2638456821442,
freeze-classical,freeze-classical,0,240,10.94091269222523,0.02199737066207994,0.08052092045545578,608.6393902301788,
freeze-classical,freeze-classical,1,240,10.935415226646256,0.02180601104680134,0.08062291145324707,593.4514396190643,
freeze-classical,freeze-classical,2,240,10.936309110024139,0.021916067958145786,0.08060631901025772,530.4379551410675,
no-entanglement,no-entanglement,0,240,33.454042546137345,0.9938884115644544,0.000451435538707301,539.7071969509125,
no-entanglement,no-entanglement,1,240,33.507869441247266,0.9939660483390325,0.000445874931756407,554.3683497905731,
no-entanglement,no-entanglement,2,240,33.465374133159244,0.9939155796444962,0.0004502591909840703,535.0774178504944,
no-MPS,no-mps,0,240,33.35440713188914,0.9937512124921982,0.00046191204455681145,566.2770059108734,
no-MPS,no-mps,1,240,33.40028499779053,0.9938242883913685,0.0004570581950247288,566.7936074733734,
no-MPS,no-mps,2,240,33.26899713873949,0.9936302205882941,0.00047108609578572214,574.0244286060333,
no-energy,no-energy-loss,0,240,33.45694586730277,0.9938908061495381,0.0004511338484007865,518.9194910526276,
no-energy,no-energy-loss,1,240,33.43664848055434,0.9938639420014538,0.00045324722304940224,533.4855635166168,
no-energy,no-energy-loss,2,240,33.42774692724989,0.9938690231918623,0.00045417717774398625,523.3588690757751,
classical-replacement,classical-replacement,0,240,33.48685416932121,0.9939404672963478,0.0004480377247091383,6.655523777008057,
classical-replacement,classical-replacement,1,240,33.49201111405913,0.9939418513625328,0.0004475060268305242,6.5498206615448,
classical-replacement,classical-replacement,2,240,33.51633358907882,0.9939780365148042,0.0004450067935977131,6.629141330718994,
classical-matched,classical-matched,0,240,32.96848603365467,0.9932060727014654,0.0005048372549936175,7.1322021484375,
classical-matched,classical-matched,1,240,33.43118470387327,0.9938607276369583,0.0004538178036455065,6.90204381942749,
classical-matched,classical-matched,2,240,33.25886556890278,0.9936123307647358,0.00047218636609613895,7.121192932128906,
random-VQC,random-vqc,0,240,28.39641382243937,0.9808627058357318,0.0014466338325291872,4.913947820663452,
random-VQC,random-vqc,1,240,27.83071699325285,0.9776050675861198,0.0016478903125971556,5.066054821014404,
random-VQC,random-vqc,2,240,28.05167131390576,0.9787356609656569,0.0015661482466384768,5.225464582443237,
