family,label,temperature,J,Gamma,n,mean_psnr_db,std_psnr_db,min_psnr_db,max_psnr_db
baseline,mean_fill,,,,6,14.510932000577824,0.23704982171053746,14.220424890834401,14.76459402724528
baseline,nearest,,,,6,19.471129603789677,0.7861252970914849,18.502441309100956,20.685797463224084
baseline,gaussian,,,,6,22.005629496984103,0.8482170815905409,20.7804167470183,23.357815009439005
classical_ising,"classical_ising: J=0.25, Gamma=0",0.25,0.25,0.0,6,11.149328247664663,0.5957743607696304,10.514069432066119,12.168545136906916
classical_ising,"classical_ising: J=0.25, Gamma=0",0.5,0.25,0.0,6,15.28900292201451,0.40692646314417863,14.816754368162563,15.884255685022733
classical_ising,"classical_ising: J=0.25, Gamma=0",0.75,0.25,0.0,6,16.31362859775948,0.27979273907087243,15.929061779481962,16.620889408884786
classical_ising,"classical_ising: J=0.25, Gamma=0",1.0,0.25,0.0,6,15.17932684936182,0.29764500210165834,14.841041433976567,15.623802814069872
classical_ising,"classical_ising: J=0.25, Gamma=0",1.5,0.25,0.0,6,13.366081609768793,0.26931849832794813,13.109352545659457,13.796203469224505
classical_ising,"classical_ising: J=0.25, Gamma=0",2.0,0.25,0.0,6,12.484569452839589,0.25339771186198384,12.260146032794417,12.875364832355213
quantum,"quantum: J=0.25, Gamma=0.2",0.25,0.25,0.2,6,12.088445658397895,0.6163836720519432,11.436164287420226,13.157971253012938
quantum,"quantum: J=0.25, Gamma=0.2",0.5,0.25,0.2,6,15.641242828936482,0.37170337261042846,15.163485684912931,16.133266742472898
quantum,"quantum: J=0.25, Gamma=0.2",0.75,0.25,0.2,6,16.249843301561366,0.28294276199657686,15.875608387473479,16.54848305005256
quantum,"quantum: J=0.25, Gamma=0.2",1.0,0.25,0.2,6,15.107930207060667,0.2967340021928472,14.771158875534784,15.554387239106916
quantum,"quantum: J=0.25, Gamma=0.2",1.5,0.25,0.2,6,13.342794308556499,0.2688497927420163,13.087715495912583,13.771982601564734
quantum,"quantum: J=0.25, Gamma=0.2",2.0,0.25,0.2,6,12.476049077582765,0.2532349697981496,12.251706547332976,12.866382725597383
quantum,"quantum: J=0.25, Gamma=0.35",0.25,0.25,0.35,6,13.88873370864625,0.5888874712229999,13.288530651545445,14.907062720994093
