seed,model,max_abs_net_current,mean_abs_net_current,solver_steps_recorded,solver_function_evaluations
3,v3_classical,0.020298062882694385,0.00016007200870354663,101,644
3,v3_quantum,0.020831831180534836,0.00015967183301690365,101,602
7,v3_classical,0.01884431772752593,0.00017892917120645538,101,632
7,v3_quantum,0.019203974395706352,0.00018058352481496184,101,602
11,v3_classical,0.013783886828883223,0.00016204096668529297,101,644
11,v3_quantum,0.014693197887604413,0.00017521797576161953,101,602
19,v3_classical,0.022187646226820606,0.00020401573028760238,101,626
19,v3_quantum,0.022296665520346887,0.0002203239226746482,101,620
29,v3_classical,0.012140852924645517,0.00012343920761320452,101,590
29,v3_quantum,0.012394092305033277,0.00013001557171288426,101,596
41,v3_classical,0.015164765531959907,0.00010839718973224771,101,632
41,v3_quantum,0.014389810453640454,0.00010947958081360217,101,584
