experiment,model,seed,mse,psnr,r2,notes
heldout-cifar-proxy,HVK2D-entangling-observables,0,0.039849641245082494,13.995755840792203,-0.13584780388503503,Held-out distribution proxy with pair observables.
heldout-cifar-proxy,no-entanglement,0,0.5117613050579467,2.9093255478161817,-13.586905585634083,Held-out distribution proxy without pair observables.
heldout-cifar-proxy,parameter-matched-classical,0,0.23454526079439253,6.297733379529679,-5.685322905330513,Held-out distribution proxy for small classical control.
heldout-cifar-proxy,raw-linear-classical,0,0.23884028508528746,6.2189241910601165,-5.807745435521996,Held-out distribution proxy for linear classical readout.
heldout-cifar-proxy,HVK2D-entangling-observables,1,0.04772674201511925,13.212382109961794,-0.3750111637036069,Held-out distribution proxy with pair observables.
heldout-cifar-proxy,no-entanglement,1,0.6914857653148037,1.6021675569763907,-18.92175888621908,Held-out distribution proxy without pair observables.
heldout-cifar-proxy,parameter-matched-classical,1,0.2417766612107941,6.165856240565624,-5.9656044861078525,Held-out distribution proxy for small classical control.
heldout-cifar-proxy,raw-linear-classical,1,0.22914605272082933,6.398876195290677,-5.601715669381804,Held-out distribution proxy for linear classical readout.
heldout-cifar-proxy,HVK2D-entangling-observables,2,0.038957717686669946,14.094064939165985,-0.18956269774542878,Held-out distribution proxy with pair observables.
heldout-cifar-proxy,no-entanglement,2,0.5520751448313622,2.5800180494385576,-15.857455663233175,Held-out distribution proxy without pair observables.
heldout-cifar-proxy,parameter-matched-classical,2,0.24557686816609117,6.098125434793435,-6.49861899377863,Held-out distribution proxy for small classical control.
heldout-cifar-proxy,raw-linear-classical,2,0.259911372499183,5.851747173993912,-6.936318958198023,Held-out distribution proxy for linear classical readout.
heldout-cifar-proxy,HVK2D-entangling-observables,3,0.04616619699397389,13.356758995999824,-0.3900171580086442,Held-out distribution proxy with pair observables.
heldout-cifar-proxy,no-entanglement,3,0.6253585388200413,2.0387091579945853,-17.828908497282924,Held-out distribution proxy without pair observables.
heldout-cifar-proxy,parameter-matched-classical,3,0.21762498664215543,6.622912425316525,-5.552466634483321,Held-out distribution proxy for small classical control.
heldout-cifar-proxy,raw-linear-classical,3,0.23818884948735583,6.230785733295647,-6.171623594574621,Held-out distribution proxy for linear classical readout.
heldout-cifar-proxy,HVK2D-entangling-observables,4,0.05089434026316161,12.93330510966663,-0.2985784112647982,Held-out distribution proxy with pair observables.
heldout-cifar-proxy,no-entanglement,4,0.5065380263563963,2.9538794612433543,-11.924410496528436,Held-out distribution proxy without pair observables.
heldout-cifar-proxy,parameter-matched-classical,4,0.24821348013565467,6.051746362556758,-5.333212396946432,Held-out distribution proxy for small classical control.
heldout-cifar-proxy,raw-linear-classical,4,0.21396455711629395,6.696581608733774,-4.459344854660916,Held-out distribution proxy for linear classical readout.
